id,item_name,price,amount,is_consumable,department_id,date_of_purchased,description,store_store_name,uom_name,quantity
00178296-6890-45e0-bd26-31e2ed755056,Office Chair,3060.0,1,1,ICT Park TTA,2024-12-31,"Color use IE brand color -Cyan 
Bases: five star bases available in black nylon, polished aluminum and brushed aluminum finishes.",Temporary Store,pcs,45.0
0098ef10-6a7d-4885-9348-8acef38b35df,Office Chair,3060.0,1,1,ICT Park TTA,2024-12-31,"Color use IE brand color -Cyan 
Bases: five star bases available in black nylon, polished aluminum and brushed aluminum finishes.",Temporary Store,pcs,45.0
017b5f07-2f35-4e89-a6ab-eb5e1294e1f4,Staff  Table,763.0,1,1,ICT Park TTA,2024-12-31,White MDF Table Dimension (1.20mx0.60m) with Drawer,Temporary Store,pcs,7.0
0194271e-0102-4996-bd4f-5dab16a7c938,Office Chair,3060.0,1,1,ICT Park TTA,2024-12-31,"Color use IE brand color -Cyan 
Bases: five star bases available in black nylon, polished aluminum and brushed aluminum finishes.",Temporary Store,pcs,45.0
0243d95a-556c-4d52-80fe-f8f961a3d734,Office Chair,3060.0,1,1,ICT Park TTA,2024-12-31,"Color use IE brand color -Cyan 
Bases: five star bases available in black nylon, polished aluminum and brushed aluminum finishes.",Temporary Store,pcs,45.0
0257e9e1-2939-4b40-8ec9-cfdb5231e09d,Office Table,4905.0,1,1,ICT Park TTA,2024-12-31,MDF white table with Drawer Dimension (1.20mx0.60m),Temporary Store,pcs,45.0
02f8d2e7-726a-43e7-83f2-622f1c6cc518,Cafteria Chair,3400.0,1,1,ICT Park TTA,2024-12-31,"Color use IE brand colors Navy,Cycan,Dark Navy & Gray (Hex BFBFBF)",Temporary Store,pcs,40.0
0387b75a-e453-4e7b-8cbf-2cb0264df968,Pick up truck,36000.0,1,1,HQ fleet,2025-01-04,Pick up truck,Temporary Store,pcs,2.0
038a2a34-a7e8-475a-bb23-15a78eaa3d75,"Supply, Installation, and Commissioning of new Sto",37400.0,1,1,HQ Office Facility,2025-08-01,"Supply, Installation, and Commissioning of new Store compound  Electric Security Fence",Temporary Store,pcs,11.0
03e1f429-2b74-46be-b6fb-4132e18d67bb,Meeting chair,1440.0,1,1,ICT Park TTA,2024-12-31,Meeting chair,Temporary Store,pcs,12.0
03e5d22e-0a5d-40b7-90aa-64e296044095,Cafteria  Table,400.0,1,1,ICT Park TTA,2024-12-31,Circular Gery  table with Radius =0.45m,Temporary Store,pcs,10.0
0401eb19-7364-458b-b0f4-e37620173d3a,Office Table,4905.0,1,1,ICT Park TTA,2024-12-31,MDF white table with Drawer Dimension (1.20mx0.60m),Temporary Store,pcs,45.0
0408ba12-b47b-47a2-a408-dbe67acecc16,Office Table,4905.0,1,1,ICT Park TTA,2024-12-31,MDF white table with Drawer Dimension (1.20mx0.60m),Temporary Store,pcs,45.0
04aa2722-402b-4acd-9193-5195ecde96bb,Office Chair,3060.0,1,1,ICT Park TTA,2024-12-31,"Color use IE brand color -Cyan 
Bases: five star bases available in black nylon, polished aluminum and brushed aluminum finishes.",Temporary Store,pcs,45.0
05296a5f-6908-4a7e-9efa-4fbcd42f4af3,Office Chair,3060.0,1,1,ICT Park TTA,2024-12-31,"Color use IE brand color -Cyan 
Bases: five star bases available in black nylon, polished aluminum and brushed aluminum finishes.",Temporary Store,pcs,45.0
0574ce5b-85a5-46b6-b79c-0e6b2b6db54a,Meeting chair,1440.0,1,1,ICT Park TTA,2024-12-31,Meeting chair,Temporary Store,pcs,12.0
059bef73-e92a-454d-9427-6e9557b90f10,Cafteria Chair,3400.0,1,1,ICT Park TTA,2024-12-31,"Color use IE brand colors Navy,Cycan,Dark Navy & Gray (Hex BFBFBF)",Temporary Store,pcs,40.0
0645d56d-a10d-492f-a895-e0120019e144,"Supply, Installation, and Commissioning of new Sto",37400.0,1,1,HQ Office Facility,2025-08-01,"Supply, Installation, and Commissioning of new Store compound  Electric Security Fence",Temporary Store,pcs,11.0
